0,25.5
30,25.8
60,26.4
90,27.0
120,27.8
150,28.5
180,29.2
210,29.9
240,30.7
270,31.4
300,32.1
330,32.8
360,33.6
390,34.3
420,35.0
450,35.7
480,36.5
510,37.2
540,37.9
570,38.6
600,39.4
630,40.0
660,40.7
690,41.5
720,42.2
750,42.9
780,43.6
810,44.3
840,45.0
870,45.7
900,46.4
930,46.9
960,47.1
990,47.2
1020,47.2
